id,code_insee,mjo,annee_semaine
VEL002,59090.0,35.0,2014_5
VEL003,59128.0,25.0,2014_5
VEL004,59152.0,125.0,2014_5
VEL005,59163.0,105.0,2014_5
VEL006,59256.0,30.0,2014_5
VEL007,59286.0,111.0,2014_5
VEL008,59303.0,12.0,2014_5
VEL012,59350.0,822.0,2014_5
VEL014,59350.0,417.0,2014_5
VEL016,59355.0,140.0,2014_5
VEL017,59508.0,47.0,2014_5
VEL018,59512.0,54.0,2014_5
VEL019,59512.0,47.0,2014_5
VEL021,59560.0,132.0,2014_5
VEL022,59599.0,69.0,2014_5
VEL023,59599.0,76.0,2014_5
VEL024,59009.0,25.0,2014_5
VEL027,59636.0,28.0,2014_5
VEL028,59350.0,624.0,2014_5
VEL039,59410.0,160.0,2014_5
VEL001,59017.0,73.0,2014_6
VEL002,59090.0,50.0,2014_6
VEL003,59128.0,24.0,2014_6
VEL004,59152.0,133.0,2014_6
VEL005,59163.0,128.0,2014_6
VEL006,59256.0,32.0,2014_6
VEL007,59286.0,120.0,2014_6
VEL008,59303.0,18.0,2014_6
VEL012,59350.0,914.0,2014_6
VEL014,59350.0,489.0,2014_6
VEL016,59355.0,181.0,2014_6
VEL017,59508.0,71.0,2014_6
VEL018,59512.0,68.0,2014_6
VEL019,59512.0,56.0,2014_6
VEL021,59560.0,147.0,2014_6
VEL022,59599.0,75.0,2014_6
VEL023,59599.0,77.0,2014_6
VEL024,59009.0,28.0,2014_6
VEL027,59636.0,31.0,2014_6
VEL028,59350.0,673.0,2014_6
VEL039,59410.0,183.0,2014_6
VEL001,59017.0,60.0,2014_7
VEL002,59090.0,25.0,2014_7
VEL003,59128.0,21.0,2014_7
VEL004,59152.0,129.0,2014_7
VEL005,59163.0,107.0,2014_7
VEL006,59256.0,32.0,2014_7
VEL007,59286.0,100.0,2014_7
VEL008,59303.0,13.0,2014_7
VEL012,59350.0,829.0,2014_7
VEL014,59350.0,432.0,2014_7
VEL016,59355.0,142.0,2014_7
VEL017,59508.0,52.0,2014_7
VEL018,59512.0,58.0,2014_7
VEL019,59512.0,51.0,2014_7
VEL021,59560.0,135.0,2014_7
VEL022,59599.0,68.0,2014_7
VEL023,59599.0,74.0,2014_7
VEL024,59009.0,23.0,2014_7
VEL027,59636.0,21.0,2014_7
VEL028,59350.0,637.0,2014_7
VEL039,59410.0,129.0,2014_7
VEL001,59017.0,79.0,2014_8
VEL002,59090.0,35.0,2014_8
VEL003,59128.0,28.0,2014_8
VEL004,59152.0,146.0,2014_8
VEL005,59163.0,137.0,2014_8
VEL006,59256.0,36.0,2014_8
VEL007,59286.0,117.0,2014_8
VEL008,59303.0,19.0,2014_8
VEL012,59350.0,904.0,2014_8
VEL014,59350.0,490.0,2014_8
VEL016,59355.0,164.0,2014_8
VEL017,59508.0,66.0,2014_8
VEL018,59512.0,72.0,2014_8
VEL019,59512.0,62.0,2014_8
VEL021,59560.0,140.0,2014_8
VEL022,59599.0,72.0,2014_8
VEL023,59599.0,83.0,2014_8
VEL024,59009.0,32.0,2014_8
VEL027,59636.0,35.0,2014_8
VEL028,59350.0,769.0,2014_8
VEL039,59410.0,162.0,2014_8
VEL021,59560.0,139.0,2014_9
VEL021,59560.0,151.0,2014_10
VEL001,59017.0,96.0,2014_11
VEL002,59090.0,105.0,2014_11
VEL003,59128.0,56.0,2014_11
VEL004,59152.0,200.0,2014_11
VEL005,59163.0,277.0,2014_11
VEL006,59256.0,76.0,2014_11
VEL007,59286.0,155.0,2014_11
VEL008,59303.0,33.0,2014_11
VEL012,59350.0,1303.0,2014_11
VEL014,59350.0,880.0,2014_11
VEL016,59355.0,265.0,2014_11
VEL017,59508.0,114.0,2014_11
VEL018,59512.0,105.0,2014_11
VEL019,59512.0,105.0,2014_11
VEL021,59560.0,169.0,2014_11
VEL022,59599.0,125.0,2014_11
VEL023,59599.0,122.0,2014_11
VEL024,59009.0,52.0,2014_11
VEL027,59636.0,58.0,2014_11
VEL028,59350.0,1082.0,2014_11
VEL039,59410.0,271.0,2014_11
VEL001,59017.0,88.0,2014_12
VEL002,59090.0,62.0,2014_12
VEL003,59128.0,44.0,2014_12
VEL004,59152.0,180.0,2014_12
VEL005,59163.0,209.0,2014_12
VEL006,59256.0,62.0,2014_12
VEL007,59286.0,142.0,2014_12
VEL008,59303.0,29.0,2014_12
VEL012,59350.0,1163.0,2014_12
VEL014,59350.0,729.0,2014_12
VEL016,59355.0,223.0,2014_12
VEL017,59508.0,92.0,2014_12
VEL018,59512.0,87.0,2014_12
VEL019,59512.0,86.0,2014_12
VEL021,59560.0,95.0,2014_12
VEL022,59599.0,104.0,2014_12
VEL023,59599.0,104.0,2014_12
VEL024,59009.0,47.0,2014_12
VEL027,59636.0,38.0,2014_12
VEL028,59350.0,977.0,2014_12
